brand,model,submodel,year,gear,engine,color,mileage,price,dateRecorded,source,sourceType,sourceUrl,externalId,series_auto,trim_auto
HONDA,,,2022.0,ekiiyr``ot,,khaaw,120000.0,888000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2017.0,ekiiyr``ot,,khaaw,65000.0,985000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2022.0,ekiiyr``ot,,ethaa,72000.0,738000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2010.0,ekiiyr``ot,,br`nchengin,160000.0,165000.0,2025-11-26,taladrod,marketplace,,,,
LEXUS,,,2022.0,ekiiyr``ot,,dam,30058.0,3690000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2024.0,ekiiyr``ot,,ethaa,20472.0,2250000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2013.0,ekiiyr``ot,,khaaw,140000.0,499000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2022.0,ekiiyr``ot,,dam,50000.0,2590000.0,2025-11-26,taladrod,marketplace,,,,
TESLA,,,2023.0,ekiiyr``ot,,khaaw,13000.0,1489000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2017.0,ekiiyr``ot,,dam,79000.0,1698000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2019.0,ekiiyr``ot,,khaaw,80000.0,399000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2015.0,ekiiyr``ot,,khaaw,110000.0,399000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2021.0,ekiiyr``ot,,ethaa,98000.0,619000.0,2025-11-26,taladrod,marketplace,,,,
ISUZU,,,2019.0,ekiiyr``ot,,aedng,188222.0,489000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2007.0,ekiiyr``ot,,ethaa,61555.0,199000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2015.0,ekiiyr``ot,,khaaw,99000.0,818000.0,2025-11-26,taladrod,marketplace,,,,
NISSAN,,,2015.0,ekiiyr``ot,,khaaw,126000.0,179000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2020.0,ekiiyr``ot,,khaaw,76000.0,899000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2017.0,ekiiyr``ot,,dam,110000.0,289000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2021.0,ekiiyr``ot,,ethaa,101572.0,979000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2024.0,ekiiyr``ot,,dam,2000.0,2299000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2019.0,ekiiyr``ot,,ethaa,152000.0,499000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2021.0,ekiiyr``ot,,khaaw,100000.0,1129000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2023.0,ekiiyr``ot,,ethaa,18000.0,549000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2015.0,ekiiyr``ot,,ethaa,152000.0,519000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2015.0,ekiiyrthrrmdaa,,dam,100000.0,359000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2012.0,ekiiyr``ot,,aedng,150000.0,188000.0,2025-11-26,taladrod,marketplace,,,,
NISSAN,,,2018.0,ekiiyr``ot,,aedng,63680.0,238000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2016.0,ekiiyr``ot,,dam,135000.0,299000.0,2025-11-26,taladrod,marketplace,,,,
CHEVROLET,,,2008.0,ekiiyr``ot,,br`nchengin,170000.0,79000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2019.0,ekiiyr``ot,,ethaa,141394.0,559000.0,2025-11-26,taladrod,marketplace,,,,
ISUZU,,,2010.0,ekiiyrthrrmdaa,,dam,160000.0,219000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2010.0,ekiiyr``ot,,aedng,170000.0,134000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2013.0,ekiiyrthrrmdaa,,dam,140000.0,209000.0,2025-11-26,taladrod,marketplace,,,,
MINI,,,2021.0,ekiiyr``ot,,ekhiiyw,41000.0,1190000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2009.0,ekiiyr``ot,,dam,210000.0,178000.0,2025-11-26,taladrod,marketplace,,,,
MG,,,2016.0,ekiiyr``ot,,ehluue`ng,100000.0,155000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2012.0,ekiiyr``ot,,ethaa,124799.0,378000.0,2025-11-26,taladrod,marketplace,,,,
HYUNDAI,,,2022.0,ekiiyr``ot,,khaaw,61581.0,699000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2011.0,ekiiyr``ot,,ethaa,160000.0,179000.0,2025-11-26,taladrod,marketplace,,,,
,,,,,,,,519000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2001.0,ekiiyr``ot,,ethaa,220212.0,179000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2011.0,ekiiyr``ot,,namtaal,332572.0,149000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2017.0,ekiiyr``ot,,br`nchengin,155000.0,418000.0,2025-11-26,taladrod,marketplace,,,,
HYUNDAI,,,2019.0,ekiiyr``ot,,dam,53848.0,1219000.0,2025-11-26,taladrod,marketplace,,,,
MITSUBISHI,,,2012.0,ekiiyr``ot,,dam,183000.0,329000.0,2025-11-26,taladrod,marketplace,,,,
