brand,model,model_raw,year,price_thb,mileage_km,color,gear_type,location,lot_num,grade,engine,type,date,sold_amount,num_bids,num_hall_bids,num_internet_bids,min_bid,max_bid,source,channel,model_clean,series,trim,has_price,has_mileage,has_brand,has_model,has_year,ok_for_pricing,brand_norm,model_norm,model_raw_norm,series_auto,match_text,trim_auto,trim_guess
TOYOTA,COROLLA,,2016.0,299000.0,180000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,COROLLA,,,True,True,True,True,True,True,TOYOTA,COROLLA,,COROLLA,COROLLA COROLLA,,
AUDI,TT,,2023.0,3790000.0,9000.0,เหลือง,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,TT,,,True,True,True,True,True,True,AUDI,TT,,TT,TT TT,,
HONDA,HRV,,2023.0,759000.0,56833.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,HRV,,,True,True,True,True,True,True,HONDA,HRV,,HRV,HRV HRV,,
BMW,SERIES 3,,1991.0,99000.0,190000.0,น้ำเงิน,,,,,,,,,,,,,,taladrod,marketplace,SERIES 3,,,True,True,True,True,True,True,BMW,SERIES 3,,3 SERIES,SERIES 3 SERIES 3,,
NISSAN,ALMERA,,2019.0,290000.0,180900.0,แดง,,,,,,,,,,,,,,taladrod,marketplace,ALMERA,,,True,True,True,True,True,True,NISSAN,ALMERA,,ALMERA,ALMERA ALMERA,,
MAZDA,MAZDA2,,2013.0,195000.0,74802.0,ขาว,,,,,,,,,,,,,,taladrod,marketplace,MAZDA2,,,True,True,True,True,True,True,MAZDA,MAZDA2,,2,MAZDA2 MAZDA2,MAZDA2 MAZDA2,Mazda2 Mazda2
PORSCHE,CAYENNE,,2018.0,3490000.0,58000.0,เทา,,,,,,,,,,,,,,taladrod,marketplace,CAYENNE,,,True,True,True,True,True,True,PORSCHE,CAYENNE,,CAYENNE,CAYENNE CAYENNE,,
BMW,Z4,,2009.0,990000.0,125000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,Z4,,,True,True,True,True,True,True,BMW,Z4,,Z4,Z4 Z4,,
FORD,MUSTANG,,2016.0,1650000.0,70000.0,แดง,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,MUSTANG,,,True,True,True,True,True,True,FORD,MUSTANG,,MUSTANG,MUSTANG MUSTANG,,
TOYOTA,ALPHARD,,2013.0,795000.0,73000.0,บรอนซ์เงิน,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,ALPHARD,,,True,True,True,True,True,True,TOYOTA,ALPHARD,,ALPHARD,ALPHARD ALPHARD,,
