Make, Model, Sub model, year, tranmission, Buyout price, Previous Bid, Current Bid
TOYOTA,AVANZA,AVANZA 1.5 G (MY12) (MNC),2019,-,679000,262500,292000
TOYOTA,AVANZA,AVANZA 1.5 S (MY12) (MNC),2019,-,729000,280000,311500
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) (MNC),2018,-,640000,220500,245000
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) Man,2018,-,605000,207000,230000
TOYOTA,AVANZA,AVANZA 1.5 G (MY12) (MNC),2018,-,679000,235000,261000
TOYOTA,AVANZA,AVANZA 1.5 S (MY12) (MNC),2018,-,729000,252000,280500
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) (MNC),2017,AT,640000,205500,228000
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) Man,2017,-,605000,193500,215000
TOYOTA,AVANZA,AVANZA 1.5 G (MY12) (MNC),2017,-,679000,217500,241500
TOYOTA,AVANZA,AVANZA 1.5 S (MY12) (MNC),2017,AT,729000,232500,258500
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) (MNC),2016,AT,640000,187500,208500
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) Man,2016,-,605000,175500,195000
TOYOTA,AVANZA,AVANZA 1.5 G (MY12) (MNC),2016,-,679000,200000,222500
TOYOTA,AVANZA,AVANZA 1.5 S (MY12) (MNC),2016,AT,729000,186000,235500
TOYOTA,AVANZA,AVANZA 1.5 E (MY12),2015,-,619000,155500,173000
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) Man,2015,-,584000,146500,163000
TOYOTA,AVANZA,AVANZA 1.5 G (MY12),2015,-,669000,169000,188000
TOYOTA,AVANZA,AVANZA 1.5 S (MY12),2015,AT,699000,177000,196500
TOYOTA,AVANZA,AVANZA 1.5 S TOURING (MY12),2015,AT,749000,174000,211500
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) Man,2014,MT,569000,67000,136500
TOYOTA,AVANZA,AVANZA 1.5 G,2014,-,669000,151500,168500
TOYOTA,AVANZA,AVANZA 1.5 G (MY12),2014,-,659000,146000,162500
TOYOTA,AVANZA,AVANZA 1.5 S (MY12),2014,AT,699000,165000,174500
TOYOTA,AVANZA,AVANZA 1.5 S TOURING (MY12),2014,-,749000,170000,189000
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) Man,2013,MT,569000,114500,127000
TOYOTA,AVANZA,AVANZA 1.5 G (MY12),2013,AT,659000,131500,153000
TOYOTA,AVANZA,AVANZA 1.5 S (MNC),2013,-,699000,143000,158500
TOYOTA,AVANZA,AVANZA 1.5 S (MY12),2013,AT,699000,127000,164000
TOYOTA,AVANZA,AVANZA 1.5 S TOURING (MY12),2013,-,749000,162500,180500
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Premium (MY21),2022,-,1659000,850500,911000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Premium Luxury (MY21),2022,-,1809000,939500,1004500
TOYOTA,CAMRY,CAMRY 2.5 Premium (60th Anniversary),2022,-,1624000,850500,911000
TOYOTA,CAMRY,CAMRY 2.5 Premium (MY21),2022,-,1599000,823500,883000
TOYOTA,CAMRY,CAMRY 2.5 Sport (MY21),2022,-,1475000,735000,789500
TOYOTA,CAMRY,CAMRY 2.0 G (MY18),2021,AT,1455000,635000,613500
TOYOTA,CAMRY,CAMRY 2.5 G (MY18),2021,-,1599000,658000,711000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (MY18),2021,-,1649000,688500,741500
